question	answer
n 4 0	l a o
k m á c	k h á c
p v	p v
ế n	đ ế n
c n ứ n q	c h ứ n g
n h i e m	n h i ệ m
n g h i ê n	n g h i ê n
l ú v	l ú c
k y	k ý
n g h l	n g h i
c h ồ n m	c h ồ n g
u k	ừ
đ ầ	đ ầ u
n ô	n ô
t r â u	t r â u
y h 3 0	t h e o
i f r a b e	i f r a m e
t f ư ờ n q	t r ư ờ n g
p h i n	p h i ê n
r u t	r ú t
o n l o n e	o n l i n e
v â b	v â n
b á c	t h ô i
m b	m b
c h ú n y	c h ú n g
c ả h	c ả n h
d u ấ t	x u ấ t
e n	e n
t i n y	t i n h
t ỉ n	t ỉ n h
s l i d e	s l i d e
t r i c h	t r í c h
q â u	g â y
r o i	r ồ i
n h â b	n h â n
d i a n h	d o a n h
v ả n	b ả n
l ạ n	l ạ n
ư ớ t	l ư ớ t
c ủ s	c ủ a
l a y l a	l a y l a
x ù m	x ù m
u ố n g	h u ố n g
m a r t h a	m a r t h a
b e y o n d	b e y o n d
k h a	k h a
k ế	h ế t
x 3 q	x e m
t a j i	t ạ i
t a j	t a y
y h ó i	t h ó i
k h ỏ r	k h ỏ e
p b ẩ m	p h ẩ m
c h a m b e r l a i n	c h a m b e r l a i n
p e w	p e w
t r o n t	t r o n g
h ừ n g	t ừ n g
t n	t l
l o n s o n	l o n d o n
t h ô n t	t h ô n g
b i e t	b i ế t
j d	i d
k ì	t h ì
đ ă n	đ ặ n
c n ẳ n g	c h ẳ n g
c ạ y	c h ạ y
4 d d 3 v n t n j s t 3 n 3 r	a d d e v e n t l i s t e n e r
d y n g	d u n g
n h ấ t	l à
ấ u	ấ u
n h h i ê n	n g h i ê n
ả g h	ả n h
f ấ t	t ấ t
c u o n g	c u o n g
o u t f i t t e r s	o u t f i t t e r s
ố c	s ố c
t h ư n g	t h ư ơ n g
x h ê	c h ê
c h i z	c h i a
t ă m	t ă m
r ự c	r ự c
l ấ m	l ấ m
x ư ở n g	x ư ở n g
h h y n h	h u y n h
n t i ệ m	n h i ệ m
t ậ	t ậ p
g i ọ n g	g i ọ n g
t ộ x	t ộ c
y i ế h	t i ế t
n h 4 u	n h a u
c ư ơ f n g	c ư ờ n g
c h ư ơ n g	c h ư ơ n g
n m h 3	n g h e
f h ú n g	c h ú n g
đ n g	đ ồ n g
y h ự	t h ự
đ ứ	đ ứ a
n h ư ợ c	n h ư ợ c
đ e e m	đ ê m
n ê b	l ê n
m á j	m á y
t j n	t i ế n
v ệ n	v i ệ n
g i y	g i â y
h a t	h ạ t
t r o n m	t r o n g
n h ằ n g	n h ằ n g
k i k	k i k
c h a	c h ả
f r e d	f r e d
g ố j	g ố i
p j ú t	p h ú t
ư 4	ư a
c h ị	c h ị u
n y h ĩ	n g h ĩ
h o b b s	h o b b s
c h ẳ m g	c h ẳ n g
p l a n	p l a n
c á n m	c á n h
k é i	k é o
m o s k o v s k y	m o s k o v s k y
t â g	t â m
t r ư ớ x	t r ư ớ c
p b ầ n	p h ầ n
c a l o s	c a r l o s
m o d r i c	m o d r i c
c ò b	c ò n
v n p l s t	v n p o s t
t i ê p	t i ế p
c ũ n	c ũ n g
t r o n n	t r o n g
b o r	b ỏ
s t o r m	s t o r m
g a	g i a
s h a r p	s h a r p
q u á m	q u á n
t t 0 ạ j	t h o ạ i
đ ă n g	đ ă n g
h a n g	h a n g
đ a t	đ a t
r i y a d h	r i y a d h
c i m	c h i m
đ ô i	đ ố i
b 0	b á o
h i ê n	p h i ê n
l n h	l ò n g
c á m	c á m
s ứ x	s ứ c
b a y w a c h	b a y w a t c h
đ o r	đ ỏ
r à o	t r à o
n ô n n	n ô n g
c y j ế c	c h i ế c
k h 3 0	t h e o
j h à	n h à
t à n q	t à n g
y h ể	t h ể
p h o n g	p h o n g
g ỗ	g ỗ
k j ệ y	h i ệ u
n ắ g	n ắ m
h o ạ c h	h o ạ c h
o k e	o k e
n b ơ j	n g ơ i
n ạ	l ạ i
t m	t ô m
c í n h	d í n h
n t ỏ	n h ỏ
t h o s t	t h ó t
t h h ậ n	t h u ậ n
r 0 b 0 t	r o b o t
t i ê	t i ê u
d 4 v j d s 0 n	d a v i d s o n
t h j ê	t h u ê
l a i	l a o
l o ạ n	l o ạ n
n g h ĩ	n g h ĩ
c ư	c ư
t h â	t h â
g h a m	t h a m
q u a s n	q u á n
r r 0 n q	t r o n g
n à	n à o
v ạ c	b ạ c
x 4 s c	x á c
v o f e t y p e	v o t e t y p e
y ú c	t ú c
c ậ y	c ậ y
a s h l e y	a s h l e y
m a d u r o	m a d u r o
p a k e r	p a k e r
r a n g e	r a n g e
v i n a p h o n e	v i n a p h o n e
h o m s t a y	h o m s t a y
h ậ p	n h ậ p
t o a n g	t o a n g
k h á t	k h á t
n h ỏ	n h ỏ
t h ấ u	t h ấ u
n g n i	n g h i
t i e e u	t i ê u
m à y	m ẽ
q r	q r
n g o à o	n g o à i
e v e g t o n	e v e r t o n
k j ế q	k i ế n
n b à y	n g à y
h ố i	m ố i
t o n	t o à n
c h ỉ n m	c h ỉ n h
t r ạ n m	t r ạ n g
q u j ề n	q u y ề n
b i n	b i n
j n	i n
x i ê	x i ê m
v h ư ơ n g	c h ư ơ n g
c u ẩ n	c h u ẩ n
q 4 n 4 x y	g a l a x y
h o x n g	h o a n g
k ô n g	k ô n g
k 0 t j n 3	h o t l i n e
b ả n	b ả n g
b ắ x	b ắ c
g i ờ	g i ờ
t h i ệ g	t h i ệ n
v h ứ c	c h ứ c
b ữ x	b ữ a
s m a r t p h o n f	s m a r t p h o n e
k h o á n	k h o á n g
4 n 3 x y	a l e x e y
d o j n	d ọ n
đ ồ n	đ ồ n
k ệ	k ệ
b k ệ t	b i ệ t
c 0 n q	c ô n g
d à n q	d à n h
h o n	h o n g
m k x	m i x
s ớ m	s ớ m
o w n	d o w n
u n f o l l o w	u n f o l l o w
g ử i	g ử i
d ọ c	d ọ c
h y u n d a i	h y u n d a i
x u â n m a i	x u â n m a i
w r i t e	w r i t e
m 4 n	m a n g
t n ự c	t h ự c
c h à n q	c h à n g
b i ệ u	h i ệ u
n h à n n	n h à n g
y r ự c	t r ự c
t ê j	t ê n
f j ể n	b i ể n
n ó j	n ó i
c ư ơ n q	c ư ơ n g
o ờ i	l ờ i
s a s u	s á u
t h u ô j c	t h u ộ c
t í	t í
c h ộ c	c u ộ c
t ị	t r ị
đ â t	đ â y
f ư ơ j	t ư ơ i
t y m o s t e n k o	t y m o s h e n k o
m i 4	m i 4
k h í t	k h í t
b a n g l a d e s h	b a n g l a d e s h
m j ố n	m u ố n
t y â n	t h â n
m k a	m u a
n ạ t	l ạ t
p n ố	p h ố
p h à m	p h à m
b ọ c	h ọ c
b ỉ u	b ỉ u
t h u ế	t h u ế
c h ẳ n n	c h ẳ n g
l ự d	l ự c
h k	h k
b i ế u	b i ế u
d ũ a	d ũ a
d u n v	d u n g
t ô m	t ô m
t m á i	t h á i
đ a w n g	đ ă n g
c a r b s	c a r b s
w e s t e r m o	w e s t e r m o
a d	a d
l é o	l é o
d d ã	đ ã
c h ồ n	c h ồ n g
s u n v	s u n g
i ư n g	l ư n g
n q ư ỡ n q	n g ư ỡ n g
m ọ c	h ọ c
d e n	đ e n
t ầ n	t ầ n g
r e d o m m e n d	r e c o m m e n d
f h a	t h a
d a l	d a o
h ì m	c h ì m
g ạ t	n g ạ t
p ư ớ i	l ư ớ i
n e w s	n e w s
b h u ậ n	n h u ậ n
p h 0 m	p h o m
b y e	b y e
h y e	h y e
l o é t	l o é t
q u e n	q u e n
k ớ n	l ớ n
r ầ n	t ầ n
n b ì n	n h ì n
k ớ j	t ớ i
t r u n y	t r u n g
g b i	g h i
r q m	r a m
p h ố	p h ố
h è b r i e n	h è b r i e n
d õ j	d õ i
đ ô r	đ ổ
u r j c	u r i c
o í	l í
n ă n n	n ă n g
x u j	x u i
v â y	d â y
t e s t o s t r r o n e	t e s t o s t e r o n e
t ô n q	t ổ n g
m i h h	m i n h
c ũ n g	c x
t r a i l b l a z r r	t r a i l b l a z e r
d 4 v j d	d a v i d
f i	v i
h â u	h ậ u
n q ư ờ k	n g ư ờ i
h o l d i n g	h o l d i n g
n w ợ n q	l ư ợ n g
b c	b ư ớ c
n h â h	n h â n
h o ặ d	h o ặ c
b r y n 0	b r u n o
s a f n h	s à n h
y h ố n g	t h ố n g
j n w 0 n 3 s j 4	i n d o n e s i a
t i ế o	t i ế p
k h ả o	k h ả o
m o n o r a i l	m o n o r a i l
h u g o	h u g o
c h ơ	c h ơ i
t j ế t	t h i ế t
k h a n	k h ă n
r a i n s y	r a i n s y
t h a y	t h a y
h o n d a	h o n d a
c j ố j	c u ố i
p h ạ	p h ạ m
t r ự f	t r ự c
d f	d f
d ấ p	c ấ p
v p l s	v p l s
t a n	t a n
m á o	m á o
r ồ u	r ồ i
l n	l u ô n
b e r n s b e u	b e r n a b e u
r d b e l	r e b e l
g à y	n à y
đ 0 ệ n	đ i ệ n
c 0 2	c o 2
c g i ế c	c h i ế c
s p o t l i g h g	s p o t l i g h t
đ ố l	đ ố i
t ư ơ i	t ư ơ i
t u y ể	t u y ể n
c 0 r r 3 4	c o r r e a
y u e n a n	y u e n a n
t ă h g	t ă n g
f ị c g	d ị c h
n h ũ n	n h ũ n
t o n g	t o n y
p k r s c h e	p o r s c h e
c q ú n q	c h ú n g
m a d u t o	m a d u r o
4 y	h a y
r u j g	t r u n g
t f ọ n g	t r ọ n g
n u j	l u i
n á i	g á i
t r ư ở h g	t r ư ở n g
g i ờ	h ệ
ị c h	d ị c h
c ứ	c ứ
z p l a y e d	z p l a y e r
c y ọ n	c h ọ n
i u ậ n	l u ậ n
đ ộ j	đ ộ i
t ị	t ị
x ụ	x ụ
t t a t g t	t t a t g t
l á n h	l á n h
t h ỉ n h	t h ỉ n h
w o r l d s	w o r l d s
n j s h j k j d 0	n i s h i k i d o
g ã y	g ã y
s t e e l	s t e e l
n á o	n á o
n q ư ờ 0	n g ư ờ i
t i n	t i ế n
0 n 3	o n e
c o j	c o m
h a n	g a n
f h ơ j	c h ơ i
t i	t ả i
r h ư ờ n g	t h ư ờ n g
n q u y ê n	n g u y ễ n
t h ở	t h ở
h đ b a	h đ b a
t à m	t à m
t a	p h a
đ j ề	đ i ề u
t ạ o	t ạ i
h â f u	h ầ u
b a n	b a n
ự c	l ự c
t h u	t h ủ
n g à i	n g o à i
f ụ c	t ụ c
3 3 g	3 3 g
t h ắ m g	t h ắ n g
b ớ i	v ớ i
p t ạ m	p h ạ m
n j ê m	n i ê m
b o ê n	b i ê n
r j ệ c	t i ệ c
k ầ m	h ầ m
v u o s	v i o s
n g a a n	n g â n
x u ố n r	x u ố n g
m ợ	m ợ
m ụ d	m ụ c
đ ư ơ j c	đ ư ợ c
p a r a g u a y	p a r a g u a y
n h ó c	n h ó c
v i a c o m	v i a c o m
s ù	c ù
x ê	x ê
n n	l ầ n
n g o j t	n g ọ t
n à y y y	n à y
d d 4 j	đ a i
y h ờ j	t h ờ i
h ì g h	h ì n h
t j ê n	t i ê n
c h e l s e a	c h e l s e a
o v e r s i z e	o v e r s i z e
i n d e x	i n d e x
v ậ h	v ậ y
y a y	h a y
h u y e n	h u y e n
m a k e u p	m a k e u p
b r i s t l e f r o n t	b r i s t l e f r o n t
p l a c e m e m t	p l a c e m e n t
h ư n v	h ư n g
t h y ề n	t u y ề n
h ê s t	h ế t
b ạ n	h ạ n
n h o	n h i
t r i	t r á i
j s r 4 3 n	i s r a e l
b ó h g	b ó n g
d i n h	s i n h
b ạ 0	b ạ o
c ử u	c ử u
b u f f 0 n	b u f f o n
c â j n	c ậ n
g i ế p	t i ế p
w h o	w h o
m ọ n q	m ọ n g
f h i	t h i
t q ấ y	t h ấ y
x ó c	x ó c
n w ớ c	n ư ớ c
d j s n w y	d i s n e y
d ư ơ n q	d ư ỡ n g
n h j ề j	n h i ề u
c t i ế c	c h i ế c
n q u ê n	n g u y ê n
đ ư ờ b g	đ ư ờ n g
z a i	s a i
b i ệ t	b i ệ t
e n	m e n
c ố t	c h ố t
m o y o	m o t o
n q h ĩ	n g h ĩ a
c ư ớ j	c ư ớ i
p h o n y	p h o n g
x a x	x ã
đ ó	ở
b ằ n q	b ằ n g
n h ấ n	n h ấ n
n 4 n h	l ã n h
d â m	d â n
k á y	m á y
x ủ	c ủ a
k ạ j	h ạ i
d 3 j p	d ẹ p
z ở	s ở
t j 3 3 u	t i ê u
d j ể m	đ i ể m
t h ư 0 n q	t h ư ơ n g
d ồ i	r ồ i
m ớ i	m s
b à 0	b à i
k 0 ã n	h o ã n
k ư	t ư
đ i	đ ô i
n g h i e n	n g h i ê n
m 3 n	m e n
c h ứ	c h ứ c
s t y l i s r	s t y l i s t
k b u	k h u
d o c u m e n y	d o c u m e n t
t h n	t h ầ n
t i	t i
n g ơ	n g ờ
h g u ồ n	n g u ồ n
h ù b g	h ù n g
b ạ m	b ạ n
t h 4 h h	t h a n h
i u u	i u u
c h â u u	c h â u u
c á c h	c á c h
l i g a	l i g a
i n s i d e r	i n s i d e r
a e r o b i c	a e r o b i c
t r ư ờ g	t r ư ờ n g
k h ê m	t h ê m
đ ị n t	đ ị n h
p h j h	p h i m
v ư ờ m	v ư ờ n
h i ê j u	h i ệ u
x i o m i	x i a o m i
â h	â u
c m ắ c	c h ắ c
n h ậ u	n h ậ u
n h x u	n h a u
n 0 v n t 3 c	n o v i t e c
p a n d a	p a n d a
ứ n	ứ n g
q r u n q	t r u n g
k j 3 3 m	k i ê m
t h à n u	t h à n h
t h g	t h ằ n g
n h 4 n n	n h a n h
n 3 v c h 3 n k 0	l e v c h e n k o
t a y	t â y
v é	b é
m q 4 y	n g a y
b ệ m h	b ệ n h
k h u n q	k h u n g
ấ m	c ấ m
m ô	m ô n
r o s e	r o s e
c ố i	c u ố i
g i a o	g i á o
4 b 4 d 4	a b a d a
ư ớ n g	h ư ớ n g
b u ô	b u ô n
g e	g e
d c o m	d c o m
v ề	t ớ i
b p h o n e	b p h o n e
n ô i	n u ô i
m a n n e k n	m a n n e k e n
t h u ậ g	t h u ậ n
d ù n q	d ù n g
í c h	í c h
c h l	c h o
p u ậ t	l u ậ t
t j ề n	t i ề n
l p g i c	l o g i c
c j ộ c	c u ộ c
c h n q	c h u n g
s m	s m
c a	c a o
c h i u	c h i ề u
r h ự c	t h ự c
c h j ê f u	c h i ề u
n e e u	n ê u
h u g ế t	h u y ế t
o n l o q d	o n l o a d
c h ữ q	c h ữ a
q 0 4 n q	g i a n g
s ậ p	s ậ p
t t á c h	t r á c h
t i	t ô i
c ô m g	c ô n g
k i j h	k i n h
k è n	h è n
p ạ n	b ạ n
c h k y ệ n	c h u y ệ n
n f ụ	n g ụ
t a o	t ớ i
đ i ệ	đ i ệ u
t á d	t á c
i ế t	b i ế t
n i n h	b i n h
l ắ c	l ắ c
p h ư c	p h ư ớ c
n i	n ộ i
đ ừ j g	đ ừ n g
p n á t	p h á t
n w d a l	n a d a l
a s a n z o	a s a n z o
m ù s	m ù a
r ấ g	r ấ t
l ầ u	l ầ u
t r a n s e r c o	t r a n s e r c o
l o r c a	l o r c a
d ô n g	d ô n g
q u â m	q u â n
n 0 ạ t	l o ạ t
t d í	t r í
e ẽ	s ẽ
k à n u	h à n h
c o o k t a i l	c o o k t a i l
d h ị	c h ị
t r ư c	t r ư ớ c
r ú	r ú t
b ạ d	b ạ c
h y m p h r e y s	h u m p h r e y s
g ặ c	m ặ c
h u y m h	h u y n h
y ạ j	h ạ i
t ù m	t ù m
m m a	m m a
d ạ n g	d ạ n g
h i ề n	h i ề n
n h l ệ m	n h i ệ m
d a a u	d â u
t o n h	t i n h
t 4 h	t a y
p h e s p	p h é p
n q w ờ j	n g ư ờ i
t u y n	t u y ê n
x ã	x ã
v đ q g	v đ q g
n u u n q	n h u n g
n ô i	m ô i
s 0	s a o
s a w a d a	s a w a d a
q y ả	q u ả
z j n h	s i n h
g i a y	g i à y
w i o	w o o
t ắ n g	t r ắ n g
b ả k	b ả o
a n d	a n d
y o o n	y o o n
y r ồ	t r ồ
đ ỗ i	đ ỗ i
x o à i	x o à i
h ó i	n ó i
v i e c o m b a n k	v i e t c o m b a n k
t h u y a n h	t h u y a n h
k i n m	k i n h
d k	đ ư ợ c
t j n y	t i n y
d ụ v	d ụ c
m u ố g	m u ố n g
k h é 0	k h é o
g l á p	g i á p
y r ở	t r ở
z u ố n g	x u ố n g
c ẽ	s ẽ
n e t f l i x	n e t f l i x
k m á c h	k h á c h
v n 3 0	v n 3 0
đ ấ m	đ ấ m
c ã i	c ã i
n g ọ n g	n g ọ n g
m h à	n h à
t h a j	t h a m
m ù i	m ù i
n g o à j	n g o à i
b 0 3	b o s e
m g ư ờ i	n g ư ờ i
d ì m	d ì m
u h ô n g	k h ô n g
g i ờ	h
t j n	t i n h
l o ạ t	l o ạ t
d f o e	d a f o e
t y ậ m	t h ậ m
p h ú g	p h ú t
t 4 m	t a m
4 q	a n
t h e	t h ẻ
t h ự c	t h ự c
ư n g	ư n g
s ứ u	c ứ u
u á n	q u á n
đ á c	đ á c
t ò n g	t ò n g
f h u	t h u
q ữ	n ữ
t j ế n	t i ế n
t i ế h	t i ế t
n g ầ n	n g ầ n
t j ế	t i ế p
n t u y	n g u y
c h ậ t	c h ậ t
v o ọ c	v o ọ c
k u ể u	k i ể u
n h a n h	n h a n h
f a s h i o n	f a s h i o n
m ắ c	m ắ c
t ị n h	t ị n h
h a n k	h a n k
l ư ỡ n	l ư ỡ n
t r ọ q	t r ọ n g
q ả n	q u ả n
đ k à n	đ o à n
ư ớ c	b ư ớ c
k j	t h i
t i ế t	t i ế t
s ă n	s ă n
d ẫ m	d ẫ m
h ổ i	h ổ i
d ờ i	d ờ i
r á o	r á o
t r a c h	t r á c h
p h ổ i	p h ổ i
t o t t e n h w m	t o t t e n h a m
đ i ề b	đ i ề n
f h o	c h o
n h â g	n h â n
e ấ t	r ấ t
c ẹ c	c ẹ c
t g ế	t h ế
t h ậ n	t h u ậ n
l ụ a	l ụ a
s ấ p	s s a a p s
s ở i	s ở i
t r i ể b	t r i ể n
v k ễ n	v i ễ n
h g o à l	n g o à i
i p s	i p s
r ô i i f	r ồ i
b ỉ n h	b ỉ n h
k m 9 5 7	k m 9 5 7
m ố n	m u ố n
h ủ	t h ủ
k e s o	k é o
m i	m ã i
c b 0 á n q	c h o á n g
d á n	s á n
m á u	m á u
t h u ố x	t h u ố c
đ ê b	đ ê m
n h á t	n h á t
m ờ j	m ờ i
c a r ô	c a r ô
g ấ	g ấ p
t w i t t e r	t w i t t e r
r ô n g	r ô n g
b a t m a n	b a t m a n
t r 3 n	t r ê n
t 4 n c	t a l c
h a b g	h a n g
4 j	a i
h i ế g	h i ế m
w h i t e	w h i t e
k s m	k e m
c l a i r e	c l a i r e
v 4 f	v à
j h ấ t	n h ấ t
s ơ	s ơ n
m ộ	b ộ
đ ứ s	đ ứ c
t u y ế n	t u y ế n
s 4 m	s a m
c h ọ n	c h ọ n
h o a n g	h o a n g
h ư ơ	h ư ơ
d ộ j	đ ộ i
a f o r g	a d o r g
g i ú l	g i ú p
m i ế t	m i ế t
t h ỳ	t h ì
f i l i	f i l i
c ặ n	c ặ n
r ộ m q	r ộ n g
d ư	d ư
n í u	n í u
ê u	y ê u
m ớ m	m ớ m
t m i	t m i
r a	t r ì n h
t ù g	t ù n g
y o ặ c	h o ặ c
n j 4 0	g i a o
n o b e l	n o b e l
k y ô n g	k h ô n g
đ â f u	đ ầ u
g ă t	g ắ t
b ệ	h ệ
c h j ế	c h i ế c
v ậ t	v ậ t
o n g	o n g
v ồ i	b ồ i
v ợ	v i
v ọ n m	v ọ n g
c h	c h ị
s 4 u	s a u
c h o á n	c h o á n
ũ n q	c ũ n g
w j n h	d i n h
v ă h	v ă n
a n h	đ a
h â g	h â m
c h u 4	c h u a
p h j n j p p j n 3 s	p h i l i p p i n e s
c ư n g	c ư ờ n g
0 u ậ n	l u ậ n
p o i n t e r	p o i n t e r
o h u	k h u
o ê n	l ê n
q u y ề	q u y ề n
m ư ớ n q	h ư ớ n g
4 y	n a y
q ậ p	g ậ p
q u ẩ y	q u ẩ y
x ỏ	x ỏ
t m ư ờ n g	t h ư ờ n g
k 4 k	h a i
p h u t	p h ú t
n g u y ễ n n	n g u y ễ n n
v y h ả i	v y h ả i
m a y	h a y
t h â j p	t h ậ p
t r ì n u	t r ì n h
c h i n g	c h í n h
k h á m h	k h á n h
a n d r e a	a n d r e a
g o l d e n	g o l d e n
t g ứ c	t h ứ c
t r j ề u	t r i ề u
h a t h w a y	h a t h a w a y
t ư c	t ứ c
t h j ệ j	t h i ệ u
đ ì n m	đ ì n h
l i ê g	l i ê n
x u	x u
c h ơ	c h ơ
o u	o u
y o u t y b e	y o u t u b e
c s c h e	c a c h e
d 4 n m	d a n h
f ỗ	v ỗ
v i d e l	v i d e o
m ạ 0	m ạ o
m a d e	m a d e
w ẫ n	d ẫ n
d i e s e l	d i e s e l
g i a i	g i ả i
b i ể j	b i ể u
c h u y ê h	c h u y ê n
n u i ề u	n h i ề u
s a i k h	s h a i k h
u j ệ n	h i ệ n
t ạ 0	t ạ p
n h j ệ q	n h i ệ m
n g ô j t	n g ộ t
ư s n g	ứ n g
s o p h w a k	s o p h e a k
t i ệ u	t r i ệ u
s h ư a	c h ư a
c ả y	x ả y
m á t	m á y
t r ớ c	t r ư ớ c
t r	t r ư ờ n g
n h ậ h	n h ậ n
t r e e n	t r ê n
d h o w b i z	s h o w b i z
b ó	b ó
n m h ị	n g h ị
n h ì	n h ì
t h n g	t h á n g
f á o	b á o
b ạ i	m ạ i
a d v e n t u r e	a d v e n t u r e
d i e p	d i e p
t n	t n
v ụ n	v ụ n
t h n g	t h ố n g
c a t a l u n y a	c a t a l u n y a
t ứ	t h ứ
c ă m	c ă m
n n ạ j	l o ạ i
m q y	m a y
i p a d	i p a d
h ò n	h ò n
l i l y	l i l y
c a w n	c ă n
f a	c a
c a l i f o r n a	c a l i f o r n i a
c h o ế u	c h i ế u
v ở i	b ở i
n h a j	n h a u
d ỡ	đ ỡ
t b â n	t h â n
n u n	l u ậ n
g h ỏ a	t h ỏ a
n à	n h à
h g ư ờ i	n g ư ờ i
m i n z t	m i n z y
r o n g	r ò n g
w 0 0 d w 4 r d	w o o d w a r d
đ ế	đ ế n
v i g a d a i r y	v i t a d a i r y
5 k	5 k
t í c n	t í c h
k 4 z p 3 r s k y	k a s p e r s k y
k h ậ n	n h ậ n
g á i	g á i
b ả n g	b ả n g
c h u u ể n	c h u y ể n
s h e r e	w h e r e
h ỉ u	h i ể u
h à n h	t h à n h
c ủ a	t h o ạ i
g i r l g r o u p	g i r l g r o u p
b i ế h	b i ế t
y e a f	y e a r
o h ầ n	p h ầ n
c h w n n e l	c h a n n e l
s á c j	s á c h
t ặ c	t ặ c
n h e n u n	n h e n u n
c a m p u v h i a	c a m p u c h i a
n f h i ê n	n g h i ê n
m ấ j	m ấ u
t t ứ	t h ứ
c h u ể n	c h u y ể n
v i ệ	v i ệ t
n g o ạ o	n g o ạ i
k à h	h à n h
t a w n g	t ă n g
n q ạ u	n g ạ i
n g h u ê n	n g h i ê n
e à n	d à n
p h ê e e	p h ê
m e l o m a n c e	m e l o m a n c e
s o n g	s o n g
o m a r	o m a r
t h ơ	t h ơ
j u y	h u y
s ớ	s ớ
d u y ê n c h i n h	d u y ê n c h i n h
t h ư ơ g g	t h ư ơ n g
t r ì	t r ì
c h ỉ n h	c h ỉ n h
t r a c y	t r a c y
p h ô i	p h ô i
h đ n d	h đ n d
h ố	h ố
s ọ	s ọ
s i n h	s i n h
n g á o	n g á o
t 3 ị	t r ị
n m ì n	n h ì n
m 4 y	m á y
đ ấ r	đ ấ t
n h a a a a a	n h a
r ẫ y	g i ã y
t w n k	t a n k
g a r e t h	g a r e t h
ứ h g	ứ n g
n h n g	n h ư n g
g á n	r á n
v n g	v à n g
p h ú t	á p
h n a o o o	h ô m
a l i v e	a l i c e
g ặ o	g ặ p
i r a m e	i f r a m e
t l ế p	t i ế p
h u	k h u
t j ư ờ n g	t h ư ờ n g
i ê u	s i ê u
n g o i	n g ô i
l i s a	l i s a
t à g	t à n g
l i a m	l i a m
n a p o l e o n	n a p o l e o n
k 4 m q	h a n g
j a n h	m a n h
w ơ n q	ư ơ n g
b ỗ n q	b ỗ n g
t m à n h	t h à n h
t r 0 j q	t r o n g
t g u ộ c	t h u ộ c
t r ì n m	t r ì n h
s ứ s	s ứ c
t r ậ n	t r ậ n
l ì	l ì
b 0 ệ t	b i ệ t
3 q	e m
s t o d m i	s t o r m i
h ở i	k h ở i
c h j ồ n g	c h u ồ n g
t o ê m	t i ê m
k r á c h	t r á c h
4 d j s	a d d i s
n ó n q	n ó n g
j a m b o	j a m b o
r ạ c	r ạ c
r ố	t ố
x ấ h	x ấ u
f h i ề u	c h i ề u
s i n g a p o r e	s i n g a p o r e
z ĩ	s ĩ
t q ủ	t h ủ
n h i ệ g	n h i ệ t
h ư ở n	h ư ở n g
c u ô j c	c u ộ c
n b ư ợ n g	n h ư ợ n g
k 0 4	h o a
p h w ơ n g	p h ư ơ n g
g ồ	h ồ
a ã	x ã
n 0 t 3 b 0 0 k c h 3 c k	n o t e b o o k c h e c k
c ư s u	c ứ u
đ ô j i	đ ộ i
à n h	h à n h
b g a y	n g a y
r o r m a t	f o r m a t
ắ n g	v ắ n g
b é t	n é t
c h ấ y	c h ấ t
k h i p	k h i ế p
đ ạ j	đ ạ o
m ô x j	m ỗ i
c p x 4 d	c p x a d
v k d e o	v i d e o
b h ọ	n h ọ
m ô u	m ô i
n r à n	n g à n
n g a n	n g â n
h â n	n h â n
y ã n g	h ã n g
è m	è m
w a i t t i m e	w a i t t i m e
d r o f b a	d r o g b a
p h ư ơ g	p h ư ơ n g
g k a n	g i a n
o x i	o x i
t b ả o	t h ả o
k j ấ u	k h ấ u
t j u ậ t	t h u ậ t
r ư n g	t r ư n g
h u ỳ n h	h ù y n h
v h í	c h í
v h ế	c h ế
t y p e o	t y p e o f
l ồ n	l ú a
y ế u	y ế u
n h ự t	n h ự t
m 4 s t 3 r c 4 r d	m a s t e r c a r d
b a r c e l o n a	b a r c e l o n a
đ ờ i	đ ờ i
f ó	c ó
q á n	q u á n
h ó x	h ó a
n h n n	n h n n
u m	u m
m ị n	m ị n
m ợ p	h ợ p
v i d e p	v i d e o
n y ư ợ c	n h ư ợ c
d ĩ n h	d ĩ n h
z m a r t p h o n e	s m a r t p h o n e
k i n j	k i n h
ụ m	c ụ m
y ổ	h ổ
ự u	c ự u
d t	d t
q u â	q u â n
đ ồ h g	đ ồ n g
n g u t ễ n	n g u y ễ n
n h j ê n	n h i ê n
n g o ạ	n g o ạ i
n ỏ a	h ỏ a
q ầ n	g ầ n
p h ố t	p h ố t
s i r ô	s i r ô
l ĩ g h	l ĩ n h
m r	m r
m ư 4	m ư a
m à k	m à u
m ư ờ g	m ư ờ n g
d e b a t	d e b a t e
t h e	t h e
c ộ n	c u ộ n
g ặ t	g ặ t
y b m	y b m
p w r s e i n t	p a r s e i n t
ứ n m	ứ n g
n b u y ễ n	n g u y ễ n
t u â n	t u ầ n
d â m	d ầ m
h a	h ò a
d i e n	đ i ệ n
n r h 3	n g h e
f h e	c h e
đ u n g	đ ú n g
a n h h	a n h h
l ù n	l ù n
s ạ	s ạ
j s a n s	j e a n s
c ớ i	v ớ i
v j	v à i
t i ê b	t i ê n
ợ n	l ợ n
d j ễ	d i ễ n
v l ễ n	v i ễ n
t h ấ	t h ấ t
đ ỉ b h	đ ỉ n h
d ơ x	d ỡ
s t a r e	s t a r s
b i e n	b i ê n
x ô	x ô
p h i l i p s	p h i l i p s
a t l a m t i s	a t l a n t i s
